,Title,weight,length,height,width,id
35,"I Love You Mom Gift Blanket - Gifts for Mom - Birthday Gifts for Women - Unique Mom Gifts from Daughter or Son for Her Birthday, Mothers Day, or Christmas - Super Soft Throw 50"" x 65"" (Merlot Red)",662.11,65.0,50.0,0.5,36
36,"GSPY Lavender Scented Candles - Best Friend, Friendship Gifts for Women - Christmas, Birthday Gifts for Friends Female, Bestie - Going Away Gifts for Friends - Funny Friend Gifts, BFF Gifts for Women",404.88480000000004,2.75,2.75,3.54,37
40,"Worx WG284 40V Power Share 24"" Cordless Hedge Trimmer",3800.3300000000004,42.0,7.75,9.25,41
43,"Master Lock - Universal Size Fits 1-7/8"", 2"", and 2-5/16"" Couplers - Trailer Locks #389DAT",453.5,6.5,4.0,7.5,44
49,"THE COMFY Original| Oversized Microfiber & Sherpa Wearable Blanket, Seen On Shark Tank, One Size Fits All",1360.5,11.8,11.8,4.7,50
52,"Monobeach Princess Tent Girls Large Playhouse Kids Castle Play Tent with Star Lights Toy for Children Indoor and Outdoor Games, 55'' x 53'' (DxH)",1705.1599999999999,55.0,55.0,53.0,53
62,"Samsung Electronics Samsung Galaxy S21 Ultra 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 108MP High Res | 128GB, Black (SM-G998UZKAXAA) (Renewed)",354.2742,7.3,3.7,2.6,63
63,Hercules Tuff Charging Station for Multiple Devices with 6 USB Fast Ports and 6 Short Mixed USB Cables for Cell Phones and Other Electronics Silver,680.25,7.25,5.0,1.25,64
65,"Lathem LT5000 Electronic Multi-Line Time, Date and Numbering Document Stamp, Can Be Wall Mounted (Screws Included) (LT5000)",2403.5499999999997,7.0,6.1,7.1,66
66,"Alesis Strike Amp 8 | 2000-Watt Portable Speaker/Amplifier for Electronic Drum Kits with 8-Inch Woofer, Contour EQ and Ground Lift Switch, 8 inch",10067.699999999999,9.6,10.8,17.04,67
67,"Ibanez 6 String Solid-Body Electric Guitar, Right Handed, Black (GRX20ZBKN)",4081.5,38.5,3.0,14.0,68
68,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),1700.625,2.0,2.0,1.0,69
69,Electronic Arcade Hover Shot - 2 Player Shootout!,1047.585,17.22,13.39,3.35,70
71,"Avengers Marvel Legends Series Endgame Power Gauntlet Articulated Electronic Fist,Brown,18 years and up",1995.4,8.0,22.0,12.5,72
72,Electronic Arcade Claw Machine - Toy Grabber Machine With Flashing LED Lights and Sound,1809.4650000000001,14.25,11.0,8.25,73
74,"Vangoa Black Full Size 4/4 Vintage Solid Wood Metallic Electronic Silent Mahogany Violin with Ebony Fittings, Carrying Case, Audio Cable, Rosin, Bow",2285.64,32.25,12.25,5.75,75
76,"Sony WF-1000XM4 Industry Leading Noise Canceling Truly Wireless Earbud Headphones with Alexa Built-in, Black",40.48848,3.7,2.56,3.39,77
77,7 Inch Digital Picture Frames IPS Screen Digital Photo Frame with Remote Control 16:9 Electronic Photo Albums 1080P Video Music 1280x800 Photo Slideshow Calendar 32GB SD Card,662.11,11.73,6.42,2.2,78
78,"2021 Newest HD TV Aerial, Indoor/Outdoor HD Antenna Amplified 320KM Range-Support Freeview 4K 1080P HD VHF UHF Local Channels 360° Reception-with Smart Amplifier Signal Booster (Black')",589.5500000000001,8.94,5.12,2.87,79
79,"Small Electronic Organizer Cable Bag, Travel Portable 2 PCS Electronic Accessories Storage Bag Soft Carrying Case Pouch for Hard Drive, Cord, Charger, Earphone, USB, SD Card (Black+Gray)",196.819,8.5,6.65,2.01,80
80,"Amazon Basics 8-Pack AA Batteries, High-Capacity 2,400 mAh Rechargeable Battery, Pre-Charged, Recharge up to 400x, Green, High Capacity (2400 mAH)",238.99450000000002,4.57,2.0,0.57,81
82,"Alesis Drums Surge Mesh Kit - Electric Drum Set with USB MIDI Connectivity, Mesh Heads, Solid Rack and Drum Module Including 40 Kits and 385 Sounds",23083.149999999998,27.6,47.28,43.32,83
83,"Jabra Speak 510 Wireless Bluetooth Speaker for Softphone and Mobile Phone – Easy Setup, Portable Speaker for Holding Meetings Anywhere with Outstanding Sound Quality",171.5137,6.0,5.0,2.0,84
84,"NexFoto Smart WiFi Digital Picture Frame 16GB Memory, Electronic Photo Frame with IPS Touch Screen, Share Photos Videos via Easy-to-Use App, Gift for Grandparents (Knight Black)",979.5600000000001,9.72,7.83,2.8,85
